Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
ēra nimer širda abuske kate-ta/ kate-ti balṭa ya abu ḥasan?,"Ắră nimr ăbŭskắră, kal ""Ka fū́rwē, Ắbū Ḥắsăn?""","The panther came to him and said ""Where is the coat, Abu Ḥasan?""",,DT_X_abu_hasan:02:47.4,0:03.7,2:47.4,2:51.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_474-02_511].wav,58110941-1
ehra bara arati,Ḡḗbri ătsántă găm. ,The sun set on them.,,DT_X_abu_hasan:04:57.6,0:02.3,4:57.6,4:59.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_576-04_599].wav,69163927-1
lakeda ʕaṣfuri sitik pandži ū putrēs.,Lắherdă ʕăsfū́ri pándăsmă sitḗk potrḗstă. ,He saw a bird on the way sleeping on its young.,,DT_X_abu_hasan:05:49.8,0:03.7,5:49.8,5:53.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_498-05_536].wav,89583511-1
"ū hassaʕ ama bēn xastērki.""","u ha ắmă bēn xăstůrki hrṓmi.""","and I am between thy hands.""",,DT_X_abu_hasan:00:50.4,0:01.8,0:50.4,0:52.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_504-00_522].wav,85276690-1
gorwak ikak nasri.,"Štírdă min hnṓna gṓrwăk, ṭlífră.","An ox arose from there, and got free. ",,DT_X_abu_hasan:00:08.2,0:01.9,0:08.2,0:10.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_082-00_101].wav,08579640-1
"ʕasfura širda abuske ṭayyib, wēštī, stannohōši!","Ḳal ""Windír ŭnkī́ir.""","She said ""stay where you are""",,DT_X_abu_hasan:06:06.9,0:03.7,6:06.9,6:10.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_069-06_106].wav,12095544-1
tōr širda abuske kē hra?,"ḳal gṓrū ""kírwi?""","the ox said ""what is the matter?""",,DT_X_abu_hasan:00:59.4,0:02.5,0:59.4,1:01.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_594-01_019].wav,77479901-1
wašwiškedos kanisma. ,Săwúṭkērda kănísmă.,He shouted in his ear,,DT_X_abu_hasan:03:47.6,0:02.0,3:47.6,3:49.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_476-03_496].wav,72296135-1
Mīndosis min danabiski;,Mīndṓsis nímr dhănăbúski;,He took him by his tail;,,DT_X_abu_hasan:03:14.4,0:02.3,3:14.4,3:16.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_144-03_167].wav,47922742-1
"""nimer mandosir aha maṭraḥma, ","""Nimr măndṓsri ḗderiēmă tă-ʕádel-hōci","""The panther has left thee in this place till thou become fat",,DT_X_abu_hasan:01:03.1,0:02.4,1:03.1,1:05.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_031-01_055].wav,43513642-1
ū pēnda giš danabēsan.,giš dhănăbḗsăn kanīrḗndi,and all their tails were plucked out. ,,DT_X_abu_hasan:03:51.7,0:01.9,3:51.7,3:53.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_517-03_536].wav,83228297-1
ṣāḥbom kull ḥīn kamkari ʕankīm ū ama tʕibahrom.,"""Sá͡uiōm ḥírt-keră ămata","My master ploughs on me,",,DT_X_abu_hasan:00:43.2,0:03.9,0:43.2,0:47.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_432-00_471].wav,37153823-1
abu ḥasan tirda bsāṭēk šāłaska.,tī́rdă ḥăssī́ri cálăs-kăpiătă Ắbu Ḥắsăn,Abu Ḥasan put a carpet on the mouth of the well,,DT_X_abu_hasan:04:29.7,0:02.7,4:29.7,4:32.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_297-04_324].wav,56620494-1
tōr manīra hnon ʕašart iyyām.,tillá-ḥră ḳadd dăwá͡iiki. ,it became as big as a camel,,DT_X_abu_hasan:00:54.3,0:03.4,0:54.3,0:57.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_543-00_577].wav,46215378-1
 ū garīre kuryasanka.,u gārī́re răwáḥre kuriḗsăntă. ,"and returned, departed to their houses. ",,DT_X_abu_hasan:05:22.2,0:01.7,5:22.2,5:23.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_222-05_239].wav,64792414-1
"ū atu nṣuḥhok,",u baʕdḗn,and aferwards,,DT_X_abu_hasan:01:05.5,0:01.6,1:05.5,1:07.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_055-01_071].wav,61087642-1
kān biddo qumnar putrēs ʕaṣfurēki.,"Dá͡ură potrḗs ʕasfū́rik, gara ḳārsắnni.","He rushed on the children of the bird, he went to eat them.",,DT_X_abu_hasan:06:25.0,0:02.4,6:25.0,6:27.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_250-06_273].wav,73638888-1
"širda ""abuske kāni širda aburke inni amak?""","Ḳal ""Kḗi jăna͡urdṓsir inni ắmă hrṓmi?""","He said ""Who told thee that it was I?""",,DT_X_abu_hasan:04:08.4,0:03.4,4:08.4,4:11.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_084-04_119].wav,76146276-1
"ʕaṣfur mindirda agir kadždžaki,",Dérijri ăgrī́s ʕăsfū́ri kájjiăki.,The bird stepped in front of the woman. ,,DT_X_abu_hasan:06:36.6,0:02.7,6:36.6,6:39.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_366-06_393].wav,30753377-1
"ū ama karami aburke min farwanki kabbūdak.""","tă-kérăm ăbŭrkắră fū́rwek.""","(so) that I may make for thee a sheepskin coat.""",,DT_X_abu_hasan:02:33.0,0:05.2,2:33.0,2:38.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_330-02_381].wav,35802454-1
"lamma isḥahra nasra,","Yṓmin kíldă båră, nắsră.","When he got up outside, he fled",,DT_X_abu_hasan:05:16.7,0:03.5,5:16.7,5:20.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_167-05_202].wav,71496685-1
ū ēra ḥāriske.,u ắră năṭrăskắră. ,and came the watchman.,,DT_X_abu_hasan:03:45.5,0:02.1,3:45.5,3:47.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_455-03_476].wav,52735273-1
kān ḥruṭkara wāšīsan,ʕắmmă dʕrári bī́tăs ătsúntă.,He was ploughing on them. ,,DT_X_abu_hasan:00:05.2,0:03.0,0:05.2,0:08.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_052-00_082].wav,66390240-1
"nigra mɣārēma,",níngră ḗmŭḡărēma,"He entered a cave,",,DT_X_abu_hasan:02:05.9,0:01.6,2:05.9,2:07.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_059-02_076].wav,81870931-1
dirdosis la di šaqfa.,u stúhḥ-kerdă nímros. ,and split him into two pieces.,,DT_X_abu_hasan:01:41.2,0:02.9,1:41.2,1:44.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_412-01_441].wav,47732226-1
ēra abuske abu ḥasan.,Ắră ăbŭskắră Ắbū Ḥắsăn;,Then came to him Abu Ḥasan,,DT_X_abu_hasan:00:57.7,0:01.7,0:57.7,0:59.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_577-00_594].wav,29412572-1
nimer lakeda farwē li ktāfēskēk;,Lắherdă nimr fū́rwē pălḗstik;,The panther saw the sheepskin coat which was on his shoulder.,,DT_X_abu_hasan:02:17.8,0:05.8,2:17.8,2:23.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_178-02_237].wav,29943454-1
nṭaḥkedos qrūnēsma.,u fērṓsis ḳurnōsmă,and struck him,,DT_X_abu_hasan:01:39.4,0:01.8,1:39.4,1:41.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_394-01_412].wav,78702843-1
dža nadikēsan!,"Ḳal ""Lắhămniː nádi-kerḗsăn.""","He said ""Let me see, call them""",,DT_X_abu_hasan:04:16.9,0:01.4,4:16.9,4:18.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_169-04_184].wav,78355628-1
dinēsan kānu šāłasmēni.,Ḥre diyḗni cálăsmă. ,The two were in the well. ,,DT_X_abu_hasan:04:43.1,0:02.4,4:43.1,4:45.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_431-04_456].wav,48242550-1
abu ḥasan iʕzimkada nimrī.,"Mī́ndă ḥálōs Ắbī Ḥasăn, ʔazim kerdă nímrăs. ",Abu Ḥasan betook himself and invited the panther,,DT_X_abu_hasan:04:26.9,0:02.8,4:26.9,4:29.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_269-04_297].wav,97290494-1
kurde šmaryan mandžisma šāłaski,Délli-kerde cmáriăn cálăsmă. ,They lowered the chickend into the well. ,,DT_X_abu_hasan:05:02.2,0:03.1,5:02.2,5:05.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_022-05_053].wav,43418818-1
giš qarāibēm nhe’ absanke danabe.,"Ḳal ""Giš jămăʕtḗm ḳaribem ʕắsărne.""","He said ""All my people, all my near relations, are tailless""",,DT_X_abu_hasan:04:14.3,0:02.6,4:14.3,4:16.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_143-04_169].wav,95032808-1
abu ḥasan širda abuske ṭayyib ama nanami aburke,"Rū́dră Ắbū Ḥắsăn ""Kérămiː","Abu Ḥasan answered him ""I will make it",,DT_X_abu_hasan:02:27.3,0:02.8,2:27.3,2:30.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_273-02_300].wav,43967314-1
awari nimer mararri dafrēsma,"fḗri ḳăfísmă,",she will strike thee with her paw,,DT_X_abu_hasan:01:07.1,0:04.9,1:07.1,1:12.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_071-01_120].wav,01076574-1
abu ḥasan sita mandžisma sallēki.,pánjī siték sellắsmă. ,he/Abu Ḥasan was sleeping in the basketǃ,,DT_X_abu_hasan:05:14.3,0:02.4,5:14.3,5:16.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_143-05_167].wav,35466220-1
stannhōšī amake hnēna ū ama hessaʕ nanamsi aburke.,"Ḳal ""Wíndir tă-nắnămis.""","He said ""stay till I bring it""",,DT_X_abu_hasan:03:05.7,0:03.0,3:05.7,3:08.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_057-03_087].wav,21682583-1
ū kurda džildas šałasma.,úktă ḳálăs cálăsmă. ,and cast the skin into a pit.,,DT_X_abu_hasan:02:59.0,0:02.6,2:59.0,3:01.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_590-03_016].wav,83957240-1
"""aha daryosi nimirki","""Hádi gṓrū, wḗsrūr erhḗna?","""Why do you stay here?",,DT_X_abu_hasan:00:28.2,0:01.6,0:28.2,0:29.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_282-00_298].wav,03496814-1
mīnda abu ḥasanas kurdosis šāłāsma.,mīndḗk Ăbu-Ḥắsănăs u tīrdṓsis cálăsmă. ,siezed Abu Ḥasan and put him in the well. ,,DT_X_abu_hasan:04:41.0,0:02.1,4:41.0,4:43.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_410-04_431].wav,53745290-1
"nimer širda ""kēkē ki ehra?""","Ḳal ""Kḗi íḥră?""","Said she ""what has happened?""",,DT_X_abu_hasan:01:25.9,0:02.3,1:25.9,1:28.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_259-01_282].wav,80482329-1
ēra abu ḥasan pīra giš panya.,"Ắră Ắbū Ḥắsăn, pīrḗk pániis giš. ","Abu Ḥasan came, drank all her water. ",,DT_X_abu_hasan:06:43.0,0:01.9,6:43.0,6:44.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_430-06_449].wav,52201248-1
ʕašan šūšad šāłasma,Sla͡urdḗndsăn cálăsmă ărătī́yōs; ,They made them sleep in the well that night,,DT_X_abu_hasan:05:05.3,0:01.8,5:05.3,5:07.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_053-05_071].wav,12351718-1
manīre min dīnanki xare bass.,"Lắmmă nī mắndă diyēnánki ḡa͡ir xáre,",[until] there remained nothing of the two but bones.,,DT_X_abu_hasan:01:54.4,0:02.0,1:54.4,1:56.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_544-01_564].wav,39614128-1
abu ḥasan nasra.,Mī́ndă ḥálōs Ắbū-Ḥắsăn u gārī́ră. ,Abu Ḥasan betook himself and returned.,,DT_X_abu_hasan:05:48.3,0:01.6,5:48.3,5:49.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_483-05_498].wav,89342221-1
"abu ḥasan gara min hnona,","Gắră min hnṓnă Ắbū Ḥắsăn,","Abu Ḥasan went from there,",,DT_X_abu_hasan:03:27.6,0:01.5,3:27.6,3:29.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_276-03_292].wav,17971133-1
"abu ḥasan mardosis, ","Mărdosis, ḳārdosis Abū Ḥắsăn","Abu Ḥasan killed it, ",,DT_X_abu_hasan:02:55.2,0:01.4,2:55.2,2:56.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_552-02_566].wav,91728973-1
ʕaṣfura ṭīrahri mindirdi siryiska ikak min illi qṭufkadi.,"Ắri ʕăsfū́ri, windírdi kắjjăkăs-siriătă. ","The bird came, sat on the head of one of the men.",,DT_X_abu_hasan:06:10.6,0:03.7,6:10.6,6:14.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_106-06_143].wav,43617670-1
čirda abuske karwasir kē biddak?,"Ḳal ""Kḗi mángēk?""","She said ""What do you want?""",,DT_X_abu_hasan:06:27.3,0:02.5,6:27.3,6:29.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_273-06_299].wav,56031632-1
lakedom aha maṭraḥī ērom,(u) lắherdōm ihi dériă. Durt ḳámi minjī́s,I saw this place and wished to eat in it.,,DT_X_abu_hasan:00:48.6,0:01.8,0:48.6,0:50.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_486-00_504].wav,01651450-1
tirdos ktāfēska.,(u) tirdṓsis pălḗsta. ,and put the coat on his shoulders.,,DT_X_abu_hasan:02:04.4,0:01.6,2:04.4,2:05.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_044-02_059].wav,10917441-1
kēkē karwāsir?,"Ḳal ""Ka krēk minjī́m, ya zélămi?""","He said ""Fellow, what dost tthou with me?""",,DT_X_abu_hasan:03:57.9,0:02.0,3:57.9,3:59.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_579-03_599].wav,03512422-1
"ḥāris tuxxkodosan,",Štírdă min hnṓnă ŭhŭ năṭū́r fērṓssăn dfángmă winni,"The watchman rose from there, shot them with a gun",,DT_X_abu_hasan:03:49.6,0:02.0,3:49.6,3:51.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_496-03_517].wav,84647764-1
"ēra karamka,",Xla͡urdṓssăn ékărmăsmă. ,he made them descend into the vineyard. ,,DT_X_abu_hasan:03:37.7,0:02.7,3:37.7,3:40.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_377-03_405].wav,93000037-1
"mīnda danabis dawāyki,",Mī́ndă Ắbū Ḥắsăn dhắnăbōs dăwá͡iăki. ,Abu Ḥasan seized the tail of the camel. ,,DT_X_abu_hasan:05:35.3,0:02.7,5:35.3,5:38.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_353-05_380].wav,70631275-1
"sabaḥtan džuwre kšalde sallēy, nhe’, fāḍini.",săbáḥtăn inšíl-kērde kắjjie séllăs min cálăski,In the morning the women raised the basket from the well. ,,DT_X_abu_hasan:05:09.5,0:04.8,5:09.5,5:14.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_095-05_143].wav,08200346-1
"marēsan, ","mắrēsăn,",kill them,,DT_X_abu_hasan:02:31.9,0:01.1,2:31.9,2:33.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_319-02_330].wav,20474521-1
šinda siryos kažžaski.,cíndă síriōs kắjjăski. ,he cut off the head of the man. ,,DT_X_abu_hasan:06:19.4,0:02.7,6:19.4,6:22.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_194-06_221].wav,50205650-1
kān ašti nkīs di gorwe.,ắšte wăšts dī gṓrwi.,he had two oxen.,,DT_X_abu_hasan:00:01.5,0:03.7,0:01.5,0:05.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_015-00_052].wav,42923106-1
abu ḥasan qēyra nimrī šāłasma.,Ḳáră Ắbū Ḥắsăn nímrăs cálăsmă. ,Abu Ḥasan ate the panther in the well. ,,DT_X_abu_hasan:04:48.9,0:02.7,4:48.9,4:51.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_489-04_516].wav,90219161-1
qrara kahindara lahedosis mīndēk danabis dawāyki,"Kăníndră ḳláră, lăherddṓsis, mīndḗk dhắnabōs dăwá͡iăki. ",The bedawi looked and saw him seizing the tail of the camel.,,DT_X_abu_hasan:05:38.0,0:03.7,5:38.0,5:41.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_380-05_418].wav,66406384-1
manīra hnon qēyra giš ḥašīšī,"Wḗsră, ḳáră minjī́s.","he stayed, ate of it.",,DT_X_abu_hasan:00:20.8,0:01.8,0:20.8,0:22.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_208-00_226].wav,88866374-1
"lakeda šałas,",Lắherde écălăs. ,They saw that well. ,,DT_X_abu_hasan:04:56.2,0:01.4,4:56.2,4:57.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_562-04_576].wav,22884811-1
ū ama bkarahrom.,"u mū́ṭlif hrṓmi min kúllēki, ",and I am weary from hunger,,DT_X_abu_hasan:00:47.1,0:01.5,0:47.1,0:48.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_471-00_486].wav,92754914-1
lakeda qrara ū quldēk dawāyka biddō dža hižžhōšār.,"Ắstă ḳlárăki, ḳōldḗk dăwá͡iată, gărḗk ḥăjjṓcar. ","There was a bedawi riding a camel, going to the haj. ",,DT_X_abu_hasan:05:29.1,0:06.3,5:29.1,5:35.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_291-05_353].wav,06868243-1
ēra tōr ū qēra giš ḥašīšēr.,"Círdă ăbúskă ""Hádi gṓrwi ḳắră ḥăštširmă.""","He said ""This ox has eaten in thy grass""",,DT_X_abu_hasan:00:33.7,0:04.1,0:33.7,0:37.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_337-00_377].wav,55652864-1
abu ḥasan širda abuske: xizawēm!,"Ḳal ""Xazna͡uḗm.""","Abu Ḥasan said ""Make me laugh",,DT_X_abu_hasan:05:58.0,0:02.4,5:58.0,6:00.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_580-06_004].wav,57911118-1
širda abuske mišš amak,"Ḳal ""Ắmă nī hrṓmi.""","he said ""It is not I""",,DT_X_abu_hasan:04:04.4,0:01.5,4:04.4,4:05.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_044-04_059].wav,00340875-1
ū tirda žildosan,úktă ḳálăn cálăsmă,and cast the skins.,,DT_X_abu_hasan:02:42.0,0:03.7,2:42.0,2:45.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_420-02_457].wav,98917657-1
qēre wāšīs.,ḳắre wăšī́s. ,they ate with him. ,,DT_X_abu_hasan:01:53.0,0:01.3,1:53.0,1:54.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_530-01_544].wav,04952268-1
"""abu ḥasan kēkē mardor barim?"""," ""Abu Ḥắsăn, kḗkă mắrdōr bárōm?""","""Abu Ḥasan, why hast thou slain my brother?""",,DT_X_abu_hasan:02:11.8,0:02.0,2:11.8,2:13.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_118-02_138].wav,21145509-1
abu ḥasan širda: ,"Ắbu Ḥắsăn ḳal, ","Abu Ḥasan said,",,DT_X_abu_hasan:01:01.9,0:01.2,1:01.9,1:03.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_019-01_031].wav,68693907-1
nimer ma džanda kānik mindžīsan illi qēyra xurfānan.,Nī jắndă kṓnik ílli ḳắră bắkrăn. ,he did not know which was the one who had eaten the sheep,,DT_X_abu_hasan:04:22.2,0:04.7,4:22.2,4:26.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_222-04_269].wav,15495267-1
"""awas qumnas ʕineb.""","""Ḳúmnăn ídrắk.""","(he said) ""Let us eat grapes""",,DT_X_abu_hasan:03:36.4,0:01.3,3:36.4,3:37.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_364-03_377].wav,04728119-1
ṭāṭ manda gorwya ū gara kuryaka.,"Măndṓsis ṭaṭ, răwáḥră kuriístă.","The fellah left him (the ox), went to his house.",,DT_X_abu_hasan:00:10.1,0:02.6,0:10.1,0:12.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_101-00_127].wav,26748627-1
"nimir ēra,",Ắră ăbúskă nimr. ,the panther came to hiim.,,DT_X_abu_hasan:00:39.3,0:01.0,0:39.3,0:40.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_393-00_403].wav,47571090-1
"atu qēror xurfānan qērorsan,","Ḳal ""Ắtu pắrdōr bắkrăn u ḳārṓssăn,","He said ""thou has taken the sheep and eaten them",,DT_X_abu_hasan:03:59.9,0:02.2,3:59.9,4:02.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_599-04_021].wav,84335965-1
"qaddimahra tōr, ",Gṓrū ḡắz-kerdă ḳúrnōsmă,the ox thrust his horn (into the ground),,DT_X_abu_hasan:01:38.0,0:01.4,1:38.0,1:39.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_380-01_394].wav,38145763-1
